name,price,image,date
A Primer to the 42 Most commonly used Machine Learning Algorithms (With Code Samples). (Arificial Intelligence),16,"<img src=""https://m.media-amazon.com/images/I/61tJB2UivHL._AC_UY218_.jpg"" width=""60"">",2023020214
Amazon SageMaker Best Practices: Proven tips and tricks to build successful machine learning solutions on Amazon SageMaker,46,"<img src=""https://m.media-amazon.com/images/I/71UvuvFdFuL._AC_UY218_.jpg"" width=""60"">",2023020214
Développer des applications machine learning-collection O'Reilly (French Edition),24,"<img src=""https://m.media-amazon.com/images/I/71G6K3mBxXL._AC_UY218_.jpg"" width=""60"">",2023020214
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series),110,"<img src=""https://m.media-amazon.com/images/I/71Xqi1ulS8L._AC_UY218_.jpg"" width=""60"">",2023020214
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",58,"<img src=""https://m.media-amazon.com/images/I/81R5BmGtv-L._AC_UY218_.jpg"" width=""60"">",2023020214
200 Drum Machine Patterns,14,"<img src=""https://m.media-amazon.com/images/I/51QgNAJy3WL._AC_UY218_.jpg"" width=""60"">",2023020214
Big Data et Machine Learning - 3e éd.: Les concepts et les outils de la data science (Management des systèmes d'information) (French Edition),21,"<img src=""https://m.media-amazon.com/images/I/71xxZcPh15L._AC_UY218_.jpg"" width=""60"">",2023020214
"Big Data, Big Design: Why Designers Should Care about Artificial Intelligence",15,"<img src=""https://m.media-amazon.com/images/I/91wFcd9ZxBL._AC_UY218_.jpg"" width=""60"">",2023020214
Livre bilingue : la Machine à explorer le temps: Apprendre l'anglais en lisant (French Edition),10,"<img src=""https://m.media-amazon.com/images/I/71iw0OQp1CL._AC_UY218_.jpg"" width=""60"">",2023020214
The Artist in the Machine: The World of AI-Powered Creativity (Mit Press),24,"<img src=""https://m.media-amazon.com/images/I/81rLpNnBLHL._AC_UY218_.jpg"" width=""60"">",2023020214
Advanced Engrams for a Thinking Computer,27,"<img src=""https://m.media-amazon.com/images/I/71uNkJvPYDL._AC_UY218_.jpg"" width=""60"">",2023020214
18th Century Fashion in Detail,34,"<img src=""https://m.media-amazon.com/images/I/81ufVTXDOlL._AC_UY218_.jpg"" width=""60"">",2023020214
Designing Knitted Textiles: Machine Knitting for Fashion,36,"<img src=""https://m.media-amazon.com/images/I/51qhNZmHRuL._AC_UY218_.jpg"" width=""60"">",2023020214
"Let's Learn Mandarin Chinese Kit: 64 Basic Mandarin Chinese Words and Their Uses (Flash Cards, Audio CD, Games & Songs, Learning Guide and Wall Chart)",13,"<img src=""https://m.media-amazon.com/images/I/81lj3e7bmuL._AC_UY218_.jpg"" width=""60"">",2023020214
Introduction au Machine Learning - 2e éd.,38,"<img src=""https://m.media-amazon.com/images/I/71N--0ii3IL._AC_UY218_.jpg"" width=""60"">",2023020214
Machine Learning: Master Machine Learning Fundamentals For Beginners,13,"<img src=""https://m.media-amazon.com/images/I/61eFYmpB3sL._AC_UY218_.jpg"" width=""60"">",2023020214
"INTEGRAÇÃO DE FERRAMENTAS LIVRES APLICADAS A BUSINESS INTELLIGENCE: LINUX, JAVA, PENTAHO, GOOGLE MAPS E ANDROID. (Portuguese Edition)",0,"<img src=""https://m.media-amazon.com/images/I/91hNDDDpbdL._AC_UY218_.jpg"" width=""60"">",2023020214
Giger,19,"<img src=""https://m.media-amazon.com/images/I/71-FGyM+1DL._AC_UY218_.jpg"" width=""60"">",2023020214
"Korean Flash Cards Kit: Learn 1,000 Basic Korean Words and Phrases Quickly and Easily! (Hangul & Romanized Forms) Downloadable Audio Included",18,"<img src=""https://m.media-amazon.com/images/I/818CHdNwNnL._AC_UY218_.jpg"" width=""60"">",2023020214
Excel 2022: The Ultimate all-in-one crash course for beginners to master Everything of Excel 2022. The Step-by-Step Advanced skills workbook on how to create & manipulate Power Excel Formulas & Grids,15,"<img src=""https://m.media-amazon.com/images/I/61BXpNa9+qL._AC_UY218_.jpg"" width=""60"">",2023020214
"Machine Learning: Master Machine Learning Fundamentals for Beginners, Business Leaders and Aspiring Data Scientists",7,"<img src=""https://m.media-amazon.com/images/I/610ZG6-VozL._AC_UY218_.jpg"" width=""60"">",2023020214
